K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 854231  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…3월,"1,818,319",-39.1,"1,136,760",-43.1,"2,245,707",-42.8,"931,291",-38.9
…4월,"2,655,146",-32.3,"1,622,226",-38.8,"3,264,550",-38.2,"1,329,819",-35.4
…5월,"3,601,829",-27.1,"2,161,320",-35.2,"4,246,873",-35.9,"1,702,987",-33.6
…6월,"4,530,976",-25.4,"2,723,239",-32.8,"5,263,573",-33.4,"2,103,581",-31.8
…7월,"5,542,743",-22.8,"3,311,140",-30.5,"6,429,373",-30.9,"2,527,852",-30.1
…8월,"6,570,836",-20.6,"3,930,701",-28.3,"7,507,706",-29.5,"2,936,668",-28.8
…9월,"7,734,580",-17.7,"4,617,323",-25.7,"8,622,138",-27.9,"3,373,031",-27.3
…10월,"8,914,000",-14.4,"5,279,834",-23.3,"9,688,921",-27,"3,791,398",-25.7
…11월,"10,027,796",-10.5,"5,889,217",-20.3,"10,585,163",-25.1,"4,188,961",-23.7
…12월,"11,016,620",-6.8,"6,461,672",-16.7,"11,450,456",-22.7,"4,627,553",-20.3
2008년,"11,820,440",1.3,"7,757,988",5.1,"14,812,187",-4.6,"5,804,209",1.3
…1월,"1,069,152",6.8,"690,099",14.2,"1,417,048",-3.5,"520,782",3
…2월,"2,001,119",7.8,"1,306,644",13.3,"2,654,642",-2.4,"983,838",3.1
…3월,"2,984,335",5.2,"1,997,256",12.1,"3,925,681",-3.9,"1,524,371",4.6
…4월,"3,923,253",6.1,"2,652,367",12.6,"5,285,227",-1,"2,059,829",6.2
…5월,"4,940,397",8.1,"3,334,857",12.9,"6,620,547",1.2,"2,566,473",8.1
…6월,"6,076,777",10.9,"4,053,373",13.3,"7,908,426",2.3,"3,084,630",9.9
…7월,"7,181,142",11.4,"4,764,569",14.1,"9,305,058",3.9,"3,617,672",10.5
…8월,"8,272,926",11.1,"5,481,374",14,"10,649,975",3.8,"4,124,288",10
…9월,"9,399,724",12,"6,217,137",14.7,"11,959,023",5.4,"4,641,762",10.3
…10월,"10,410,743",10.4,"6,882,291",13.2,"13,277,290",3.7,"5,105,397",7.6
…11월,"11,209,879",5.4,"7,390,186",9.3,"14,139,873",-0.8,"5,488,639",4.4
…12월,"11,820,440",1.3,"7,757,988",5.1,"14,812,187",-4.6,"5,804,209",1.3
2007년,"11,671,869",0,"7,383,861",0,"15,529,167",0,"5,730,654",0
