K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…11월,"35,323,922",-4,"39,780,919,753",0.5,"7,298,772",18.6,"10,486,642,234",24.8
…12월,"37,596,806",-4.3,"43,343,252,719",2.8,"7,749,448",12.5,"11,367,375,658",21.2
2013년,"39,287,875",-9.8,"42,176,047,499",-7.3,"6,887,410",33.8,"9,380,905,428",48.8
…1월,"3,686,800",8,"3,815,405,345",8.7,"575,794",40.6,"761,477,585",59.5
…2월,"7,006,679",-0.5,"7,147,860,370",0.7,"1,171,964",55.9,"1,537,157,046",77.7
…3월,"10,609,732",-2.3,"11,012,396,824",2.1,"1,631,387",50.1,"2,105,316,782",70.7
…4월,"13,313,044",-6,"14,011,223,806",0,"2,226,551",48.6,"2,892,835,184",72.1
…5월,"16,499,530",-6.4,"17,612,238,292",-0.1,"2,781,387",39,"3,658,356,895",58.9
…6월,"19,732,238",-7.1,"21,240,743,449",-2.6,"3,363,208",38.7,"4,470,866,132",57.5
…7월,"22,794,151",-7.6,"24,611,811,684",-4.2,"3,853,112",36.4,"5,183,855,333",54.6
…8월,"26,337,288",-7.1,"28,452,009,130",-3.7,"4,425,264",35,"6,001,766,549",53.3
…9월,"29,749,536",-8.5,"32,085,264,788",-4.9,"4,946,945",31.6,"6,718,223,394",49.5
…10월,"32,976,364",-9.7,"35,529,298,886",-6.5,"5,502,982",34,"7,478,577,145",52.9
…11월,"36,776,781",-8.5,"39,577,827,159",-5.6,"6,155,851",33.8,"8,405,743,616",51.5
…12월,"39,287,875",-9.8,"42,176,047,499",-7.3,"6,887,410",33.8,"9,380,905,428",48.8
2012년,"43,536,414",7.8,"45,501,177,438",6.8,"5,146,332",64.8,"6,304,854,991",63.3
…1월,"3,415,201",43.8,"3,511,590,659",19.2,"409,647",16.5,"477,507,020",-17.6
…2월,"7,045,229",43.9,"7,095,183,387",21.2,"751,805",16.5,"864,803,316",-14.2
…3월,"10,863,533",30.7,"10,783,603,112",13.4,"1,087,198",15.5,"1,232,989,135",-12
…4월,"14,157,051",14.6,"14,011,052,714",3.5,"1,498,210",21.4,"1,680,461,987",-4.4
…5월,"17,630,325",10.2,"17,629,740,414",2.1,"2,000,431",34.4,"2,302,171,721",12.3
…6월,"21,251,604",9.7,"21,798,823,570",5.2,"2,424,530",38.1,"2,838,735,349",19.5
